,0,1
myRepoSpace,2015-07-06,"252,751"
Hemmakväll,2015-07-08,"47,297"
WildStar,2015-07-11,"738,556"
Seedpeer,2015-07-12,"281,924"
Soundwave,2015-07-16,"130,705"
Ashley Madison,2015-07-19,"30,811,934"
Pokébip,2015-07-28,"657,001"
StoryBird,2015-08-07,"1,047,200"
MyVidster,2015-08-15,"19,863"
ClearVoice Surveys,2015-08-23,"15,074,786"
The Candid Board,2015-09-03,"178,201"
Experian (2015),2015-09-16,"7,196,890"
Final Fantasy Shrine,2015-09-18,"620,677"
PSP ISO,2015-09-25,"1,274,070"
WIIU ISO,2015-09-25,"458,155"
Xbox 360 ISO,2015-09-25,"1,296,959"
Patreon,2015-10-01,"2,330,382"
Special K Data Feed Spam List,2015-10-07,"30,741,620"
NetEase,2015-10-19,"234,842,089"
NapsGear,2015-10-21,"287,071"
MPGH,2015-10-22,"3,122,898"
Gamerzplanet,2015-10-23,"1,217,166"
Go Games,2015-10-24,"3,430,083"
PHP Freaks,2015-10-27,"173,891"
Mac-Torrents,2015-10-31,"93,992"
Abandonia (2015),2015-11-01,"776,125"
R2Games,2015-11-01,"22,281,337"
vBulletin,2015-11-03,"518,966"
InterPals,2015-11-04,"3,439,414"
xat,2015-11-04,"5,968,783"
Ancestry,2015-11-07,"297,806"
Comcast,2015-11-08,"616,882"
Beautiful People,2015-11-11,"1,100,089"
VTech,2015-11-13,"4,833,678"
MajorGeeks,2015-11-15,"269,548"
DaniWeb,2015-12-01,"1,131,636"
Nihonomaru,2015-12-01,"1,697,282"
Programming Forums,2015-12-01,"707,432"
The Fappening,2015-12-01,"179,030"
Aternos,2015-12-06,"1,436,486"
QuinStreet,2015-12-14,"4,907,802"
Trillian,2015-12-27,"3,827,238"
Anime-Planet,2016-01-01,"368,507"
BitTorrent,2016-01-01,"34,235"
D3Scene,2016-01-01,"568,827"
Lifeboat,2016-01-01,"7,089,395"
MoDaCo,2016-01-01,"879,703"
Onverse,2016-01-01,"800,157"
ServerPact,2016-01-01,"73,587"
XPG,2016-01-01,"890,341"
EpicNPC,2016-01-02,"408,795"
Battlefy,2016-01-11,"83,610"
uTorrent,2016-01-14,"395,044"
Minecraft World Map,2016-01-15,"71,081"
Flash Flash Revolution (2016 breach),2016-02-01,"1,771,845"
V-Tight Gel,2016-02-13,"2,013,164"
