,0,1
Wishbone (2016),2016-08-07,"2,247,314"
Master Deeds,2017-03-14,"2,257,930"
Elanic,2018-01-01,"2,325,283"
Patreon,2015-10-01,"2,330,382"
Glofox,2020-03-27,"2,330,735"
FashionFantasyGame,2016-12-01,"2,357,872"
GGCorp,2022-08-11,"2,376,330"
ClixSense,2016-09-04,"2,424,784"
SaverSpy,2018-09-18,"2,457,420"
iPmart,2015-07-01,"2,460,787"
Factual,2017-03-22,"2,461,696"
Morele.net,2018-10-10,"2,467,304"
Drizly,2020-07-02,"2,479,044"
Ge.tt,2017-05-04,"2,481,121"
Funimation,2016-07-01,"2,491,103"
Chatbooks,2020-03-26,"2,520,441"
CafeMom,2014-04-10,"2,628,148"
Duowan.com,2011-01-01,"2,639,894"
MMG Fusion,2020-12-20,"2,660,295"
Uiggy,2016-06-01,"2,682,650"
Audi,2019-08-14,"2,743,539"
Eatigo,2018-10-16,"2,789,609"
Bonobos,2020-08-14,"2,811,929"
WiziShop,2020-07-14,"2,856,769"
Dave,2020-06-28,"2,964,182"
XSplit,2013-11-07,"2,983,472"
MangaDex,2021-03-22,"2,987,329"
Aptoide,2020-04-13,"20,012,235"
Autotrader,2023-01-06,"20,032"
IndiaMART,2021-05-23,"20,154,583"
SuperVPN & GeckoVPN,2021-02-25,"20,339,937"
ShopBack,2020-09-17,"20,529,819"
ai.type,2017-12-05,"20,580,060"
Hurb,2019-03-14,"20,727,771"
Bell (2014 breach),2014-02-01,"20,902"
ParkMobile,2021-03-21,"20,949,825"
Win7Vista Forum,2013-09-03,"202,683"
Mappery,2018-12-11,"205,242"
Taobao,2012-01-01,"21,149,008"
Twitter (200M),2021-01-01,"211,524,284"
BannerBit,2018-12-29,"213,415"
QuestionPro,2022-05-21,"22,229,637"
R2Games,2015-11-01,"22,281,337"
Read Novel,2019-05-01,"22,424,472"
Animoto,2018-07-10,"22,437,749"
JoomlArt,2018-01-30,"22,477"
GFAN,2016-10-10,"22,526,334"
Domino's India,2021-03-24,"22,527,655"
Covve,2020-02-20,"22,802,117"
Wiener Büchereien,2019-06-10,"224,119"
europa.jobs,2019-08-11,"226,095"
Cit0day,2020-11-04,"226,883,414"
Cannabis.com,2014-02-05,"227,746"
Thingiverse,2020-10-13,"228,102"
COMELEC (Philippines Voters),2016-03-27,"228,605"
Deezer,2019-04-22,"229,037,936"
Mangatoon,2022-05-13,"23,040,238"
Wanelo,2018-12-13,"23,165,793"
CafePress,2019-02-20,"23,205,290"
LimeVPN,2020-10-08,"23,348"
Shitexpress,2022-08-08,"23,817"
Zoosk (2020),2020-01-12,"23,927,853"
NetEase,2015-10-19,"234,842,089"
Utah Gun Exchange,2020-07-17,"235,233"
Preen.Me,2020-05-25,"236,105"
Bot of Legends,2014-11-13,"238,373"
Justdate.com,2016-09-29,"24,451,312"
bigbasket,2020-10-14,"24,500,011"
MGM Resorts (2022 Update),2019-07-25,"24,842,001"
VNG,2015-05-19,"24,853,850"
Planet Ice,2023-01-14,"240,488"
GoldSilver,2018-10-21,"242,715"
Mathway,2020-01-13,"25,692,862"
Epic Games,2016-08-11,"251,661"
Foxy Bingo,2008-04-04,"252,216"
myRepoSpace,2015-07-06,"252,751"
SweClockers.com,2015-04-01,"254,867"
Ticketfly,2018-05-31,"26,151,608"
QIP,2011-06-01,"26,183,992"
LiveJournal,2017-01-01,"26,372,781"
Business Acumen Magazine,2014-04-25,"26,596"
Staminus,2016-03-11,"26,815"
Neopets,2013-05-05,"26,892,897"
Atlas Quantum,2018-08-25,"261,463"
OGUsers (2020 breach),2020-04-02,"263,189"
Capital Economics,2020-12-12,"263,829"
Technic,2018-11-30,"265,410"
Ajarn,2018-12-13,"266,399"
Wattpad,2020-06-29,"268,765,495"
MajorGeeks,2015-11-15,"269,548"
Livpure,2020-08-29,"269,552"
Mate1.com,2016-02-29,"27,393,015"
Taringa,2017-08-01,"27,971,100"
Linux Forums,2018-05-01,"275,785"
MindJolt,2019-03-18,"28,364,826"
HauteLook,2018-08-07,"28,510,459"
hemmelig.com,2011-12-21,"28,641"
Seedpeer,2015-07-12,"281,924"
Sumo Torrent,2014-06-21,"285,191"
NapsGear,2015-10-21,"287,071"
Tianya,2011-12-26,"29,020,808"
Evony,2016-06-01,"29,396,116"
Hookers.nl,2019-10-10,"290,955"
Carding Mafia (March 2021),2021-03-18,"297,744"
Ancestry,2015-11-07,"297,806"
Intelimost,2019-03-10,"3,073,409"
MGM Resorts,2019-07-25,"3,081,321"
CoinMarketCap,2021-10-12,"3,117,548"
MPGH,2015-10-22,"3,122,898"
UN Internet Governance Forum,2014-02-20,"3,200"
Bestialitysextaboo,2018-03-19,"3,204"
Pluto TV,2018-10-12,"3,225,080"
DLH.net,2016-07-31,"3,264,710"
LiveAuctioneers,2020-06-19,"3,385,862"
Paytm,2020-08-30,"3,395,101"
Biohack.me,2016-12-02,"3,402"
Go Games,2015-10-24,"3,430,083"
InterPals,2015-11-04,"3,439,414"
Dunzo,2020-06-19,"3,465,259"
NemoWeb,2016-09-04,"3,472,916"
Спрашивай.ру,2015-05-11,"3,474,763"
MobiFriends,2020-01-06,"3,512,952"
Zoomcar,2018-07-01,"3,589,795"
Neteller,2010-05-17,"3,619,948"
Lifebear,2019-02-28,"3,670,561"
DriveSure,2020-12-19,"3,675,099"
FlexBooker,2021-12-23,"3,756,794"
Quidd,2019-07-01,"3,805,863"
Trillian,2015-12-27,"3,827,238"
Bookmate,2018-07-08,"3,830,916"
Adult FriendFinder (2015),2015-05-21,"3,867,997"
JobStreet,2012-03-07,"3,883,455"
Wongnai,2020-10-28,"3,924,454"
IDC Games,2021-03-15,"3,966,871"
Roll20,2018-12-26,"3,994,436"
SvenskaMagic,2015-07-01,"30,327"
Vastaamo,2019-03-31,"30,433"
Light's Hope,2018-06-25,"30,484"
Special K Data Feed Spam List,2015-10-07,"30,741,620"
Ashley Madison,2015-07-19,"30,811,934"
Carding Mafia (December 2021),2021-12-28,"303,877"
Aimware,2019-04-28,"305,470"
Real Estate Mogul,2016-09-06,"307,768"
JukinMedia,2021-10-28,"314,290"
Hacking Team,2015-07-06,"32,310"
SC Daily Phone Spam List,2015-04-14,"32,939,105"
Health Now Networks,2017-03-25,"321,920"
Mac Forums,2016-07-03,"326,714"
Plex,2015-07-02,"327,314"
NetProspex,2016-09-01,"33,698,126"
League of Legends,2012-06-11,"339,487"
BitTorrent,2016-01-01,"34,235"
Doomworld,2022-10-12,"34,478"
PSX-Scene,2015-02-01,"341,118"
Facepunch,2016-06-03,"342,913"
OGUsers (2021 breach),2021-04-11,"348,302"
Brand New Tube,2022-08-14,"349,627"
Fridae,2014-05-02,"35,368"
Torrent Invites,2013-12-12,"352,120"
People's Energy,2020-12-16,"358,822"
MySpace,2008-07-01,"359,420,698"
Poshmark,2018-05-16,"36,395,491"
BigMoneyJobs,2014-04-03,"36,789"
Hub4Tech,2017-01-01,"36,916"
BTC-Alpha,2021-11-02,"362,426"
MrExcel,2016-12-05,"366,140"
DoorDash,2022-08-02,"367,476"
Anime-Planet,2016-01-01,"368,507"
Sony,2011-06-02,"37,103"
Last.fm,2012-03-22,"37,217,682"
Muslim Directory,2014-02-17,"37,784"
Doxbin,2022-01-05,"370,794"
Guns.com,2021-01-12,"375,928"
xHamster,2016-11-28,"377,377"
Pixel Federation,2013-12-04,"38,108"
Freedom Hosting II,2017-01-31,"380,830"
Smogon,2017-09-10,"386,489"
SHEIN,2018-06-01,"39,086,762"
LBB,2019-02-14,"39,288"
Chegg,2018-04-28,"39,721,127"
River City Media Spam List,2017-01-01,"393,430,309"
uTorrent,2016-01-14,"395,044"
Minehut,2019-05-17,"396,533"
Exposed VINs,2017-06-05,"396,650"
Lolzteam,2018-05-13,"398,011"
Club Penguin Rewritten (July 2019),2019-07-27,"4,007,909"
17,2016-04-19,"4,009,640"
Avvo,2019-12-17,"4,101,101"
Swvl,2020-06-23,"4,195,918"
IIMJobs,2018-12-31,"4,216,063"
Peatix,2019-01-20,"4,227,907"
Gaadi,2015-05-14,"4,261,179"
Adecco,2021-01-03,"4,284,538"
Emotet,2021-01-27,"4,324,770"
