,0,1
Club Penguin Rewritten (January 2018),2018-01-21,"1,688,176"
Club Penguin Rewritten (July 2019),2019-07-27,"4,007,909"
Coachella,2017-02-22,"599,802"
CoinMarketCap,2021-10-12,"3,117,548"
CoinTracker,2022-12-01,"1,557,153"
Coinmama,2017-08-03,"478,824"
Collection #1,2019-01-07,"772,904,991"
Comcast,2015-11-08,"616,882"
Convex,2023-02-01,"150,129"
Coupon Mom / Armor Games,2014-02-08,"11,010,525"
Covve,2020-02-20,"22,802,117"
Crack Community,2013-09-09,"19,210"
Cracked.to,2019-07-21,"749,161"
CrackingForum,2016-07-01,"660,305"
Creative,2018-05-01,"483,015"
CrimeAgency vBulletin Hacks,2017-01-19,"942,044"
Cross Fire,2016-08-08,"12,865,609"
CyberServe,2021-10-29,"1,107,034"
D3Scene,2016-01-01,"568,827"
DLH.net,2016-07-31,"3,264,710"
DaFont,2017-05-16,"637,340"
Daily Quiz,2021-01-13,"8,032,404"
DailyObjects,2018-01-01,"464,260"
Dailymotion,2016-10-20,"85,176,234"
Dangdang,2011-06-01,"4,848,734"
DaniWeb,2015-12-01,"1,131,636"
DatPiff,2021-08-25,"7,476,940"
Data & Leads,2018-11-14,"44,320,330"
Data Enrichment Exposure From PDL Customer,2019-10-16,"622,161,052"
Data Enrichment Records,2016-12-23,"8,176,132"
DataCamp,2017-01-30,"760,561"
Dave,2020-06-28,"2,964,182"
Deezer,2019-04-22,"229,037,936"
Demon Forums,2019-02-20,"52,623"
Descomplica,2021-03-14,"4,845,378"
Devil-Torrents.pl,2021-01-04,"63,451"
Digimon,2016-09-05,"7,687,679"
Disqus,2012-07-01,"17,551,044"
DivX SubTitles,2010-01-01,"783,058"
Dodonew.com,2011-12-01,"8,718,404"
Domino's,2014-06-13,"648,231"
Domino's India,2021-03-24,"22,527,655"
Doomworld,2022-10-12,"34,478"
DoorDash,2022-08-02,"367,476"
Doxbin,2022-01-05,"370,794"
DriveSure,2020-12-19,"3,675,099"
Drizly,2020-07-02,"2,479,044"
Dropbox,2012-07-01,"68,648,009"
Dubsmash,2018-12-01,"161,749,950"
Ducks Unlimited,2021-01-29,"1,324,364"
Dueling Network,2017-03-29,"6,486,626"
Dungeons & Dragons Online,2013-04-02,"1,580,933"
Dunzo,2020-06-19,"3,465,259"
Duowan.com,2011-01-01,"2,639,894"
E-Pal,2022-04-15,"108,887"
EatStreet,2019-05-03,"6,353,564"
Eatigo,2018-10-16,"2,789,609"
Edmodo,2017-05-11,"43,423,561"
Elance,2009-01-01,"1,291,178"
Elanic,2018-01-01,"2,325,283"
Elasticsearch Instance of Sales Leads on AWS,2018-10-29,"5,788,169"
Emotet,2021-01-27,"4,324,770"
Emuparadise,2018-04-01,"1,131,229"
Epic Games,2016-08-11,"251,661"
EpicBot,2019-09-01,"816,662"
EpicNPC,2016-01-02,"408,795"
Epik,2021-09-13,"15,003,961"
Eroticy,2015-06-01,"1,370,175"
Eskimi,2020-09-25,"1,197,620"
Estonian Citizens (via Estonian Cybercrime Bureau),2018-06-07,"655,161"
Ethereum,2016-12-16,"16,431"
Evermotion,2015-05-07,"435,510"
Everybody Edits,2019-03-23,"871,190"
Evite,2013-08-11,"100,985,047"
Evony,2016-06-01,"29,396,116"
Exactis,2018-06-01,"131,577,763"
Experian (2015),2015-09-16,"7,196,890"
Experian (South Africa),2020-08-19,"1,284,637"
Exploit.In,2016-10-13,"593,427,119"
Exposed VINs,2017-06-05,"396,650"
Eye4Fraud,2023-01-25,"16,000,591"
EyeEm,2018-02-28,"19,611,022"
FaceUP,2013-01-01,"87,633"
Facebook,2019-08-01,"509,458,528"
Facepunch,2016-06-03,"342,913"
Factual,2017-03-22,"2,461,696"
Famm,2020-10-08,"535,240"
Fanpass,2022-04-30,"112,251"
Fantasy Football Hub,2021-10-02,"66,479"
Fashion Nexus,2018-07-09,"1,279,263"
FashionFantasyGame,2016-12-01,"2,357,872"
Filmai.in,2020-01-01,"645,786"
Final Fantasy Shrine,2015-09-18,"620,677"
Flash Flash Revolution (2016 breach),2016-02-01,"1,771,845"
Flash Flash Revolution (2019 breach),2019-07-16,"1,858,124"
Flashback,2015-02-11,"40,256"
FlexBooker,2021-12-23,"3,756,794"
Fling,2011-03-10,"40,767,652"
Florida Virtual School,2018-02-12,"542,902"
Foodora,2016-04-22,"582,578"
Forbes,2014-02-15,"1,057,819"
ForumCommunity,2016-06-01,"776,648"
Fotolog,2018-12-01,"16,717,854"
Foxy Bingo,2008-04-04,"252,216"
Freedom Hosting II,2017-01-31,"380,830"
FreshMenu,2016-07-01,"110,355"
Fridae,2014-05-02,"35,368"
Funimation,2016-07-01,"2,491,103"
Funny Games,2018-04-28,"764,357"
Fur Affinity,2016-05-17,"1,270,564"
GFAN,2016-10-10,"22,526,334"
GGCorp,2022-08-11,"2,376,330"
GPS Underground,2016-07-01,"669,584"
GTAGaming,2016-08-01,"197,184"
Gaadi,2015-05-14,"4,261,179"
Gab,2021-02-26,"66,521"
GameSalad,2019-02-24,"1,506,242"
GameTuts,2015-03-01,"2,064,274"
Gamerzplanet,2015-10-23,"1,217,166"
Gamigo,2012-03-01,"8,243,604"
GateHub,2019-06-04,"1,408,078"
Gawker,2010-12-11,"1,247,574"
Ge.tt,2017-05-04,"2,481,121"
GeekedIn,2016-08-15,"1,073,164"
Gemini,2022-12-13,"5,274,214"
GeniusU,2020-10-02,"1,301,460"
Get Revenge On Your Ex,2022-09-09,"79,195"
GiveSendGo,2022-02-07,"89,966"
Glofox,2020-03-27,"2,330,735"
Go Games,2015-10-24,"3,430,083"
GoldSilver,2018-10-21,"242,715"
Gravatar,2020-10-03,"113,990,759"
GunAuction.com,2022-12-03,"565,470"
Guns and Robots,2016-04-01,"143,569"
Guns.com,2021-01-12,"375,928"
Guntrader,2021-07-17,"112,031"
HDB Financial Services,2023-02-22,"1,658,750"
HLTV,2016-06-19,"611,070"
HTC Mania,2020-01-04,"1,488,089"
HTH Studios,2018-08-24,"411,755"
Hacking Team,2015-07-06,"32,310"
HauteLook,2018-08-07,"28,510,459"
Havenly,2020-06-25,"1,369,180"
Health Now Networks,2017-03-25,"321,920"
Hemmakväll,2015-07-08,"47,297"
Heroes of Gaia,2013-01-04,"179,967"
Heroes of Newerth,2012-12-17,"8,089,103"
HiAPK,2014-01-01,"13,873,674"
Home Chef,2020-02-10,"8,815,692"
HongFire,2015-03-01,"999,991"
Hookers.nl,2019-10-10,"290,955"
HoundDawgs,2017-12-30,"45,701"
Houzz,2018-05-23,"48,881,308"
Hub4Tech,2017-01-01,"36,916"
Hurb,2019-03-14,"20,727,771"
IDC Games,2021-03-15,"3,966,871"
IIMJobs,2018-12-31,"4,216,063"
ILikeCheats,2014-10-18,"188,847"
Imavex,2021-08-20,"878,209"
IndiaMART,2021-05-23,"20,154,583"
Indian Railways,2019-10-28,"583,377"
Insanelyi,2014-07-22,"104,097"
Instant Checkmate,2019-04-12,"11,943,887"
Intelimost,2019-03-10,"3,073,409"
InterPals,2015-11-04,"3,439,414"
JD,2013-01-01,"77,449,341"
James,2020-03-25,"1,541,284"
Jefit,2020-08-11,"9,052,457"
JobStreet,2012-03-07,"3,883,455"
Jobandtalent,2018-02-01,"10,981,207"
JoomlArt,2018-01-30,"22,477"
JukinMedia,2021-10-28,"314,290"
Justdate.com,2016-09-29,"24,451,312"
KM.RU,2016-02-29,"1,476,783"
Kayo.moe Credential Stuffing List,2018-09-11,"41,826,763"
Kickstarter,2014-02-16,"5,176,463"
Kimsufi,2015-05-01,"504,565"
KiwiFarms,2019-09-10,"4,606"
KnownCircle,2016-04-12,"1,957,600"
Knuddels,2018-09-05,"808,330"
KomplettFritid,2021-02-01,"139,401"
Kreditplus,2020-06-23,"768,890"
LBB,2019-02-14,"39,288"
La Poste Mobile,2022-07-04,"533,886"
Lanwar,2018-07-28,"45,120"
Last.fm,2012-03-22,"37,217,682"
Lazada RedMart,2020-07-30,"1,107,789"
Lead Hunter,2020-03-04,"68,693,853"
League of Legends,2012-06-11,"339,487"
Ledger,2020-06-25,"1,075,241"
Leet,2016-09-10,"5,081,689"
Lifebear,2019-02-28,"3,670,561"
Lifeboat,2016-01-01,"7,089,395"
Light's Hope,2018-06-25,"30,484"
Liker,2021-03-08,"465,141"
LimeVPN,2020-10-08,"23,348"
LinkedIn,2012-05-05,"164,611,595"
LinkedIn Scraped Data,2021-04-08,"125,698,496"
Linux Forums,2018-05-01,"275,785"
Linux Mint,2016-02-21,"144,989"
Little Monsters,2017-01-01,"995,698"
LiveAuctioneers,2020-06-19,"3,385,862"
LiveJournal,2017-01-01,"26,372,781"
Livpure,2020-08-29,"269,552"
Lizard Squad,2015-01-16,"13,451"
Lolzteam,2018-05-13,"398,011"
Lookbook,2012-08-24,"1,074,948"
Lord of the Rings Online,2013-08-01,"1,141,278"
Lounge Board,2013-08-01,"45,018"
Lumin PDF,2019-04-01,"15,453,048"
Lyrics Mania,2017-12-21,"109,202"
MALL.cz,2017-07-27,"735,405"
MCBans,2016-10-27,"119,948"
MDPI,2016-08-30,"845,012"
MGM Resorts,2019-07-25,"3,081,321"
MGM Resorts (2022 Update),2019-07-25,"24,842,001"
MMG Fusion,2020-12-20,"2,660,295"
MPGH,2015-10-22,"3,122,898"
Mac Forums,2016-07-03,"326,714"
Mac-Torrents,2015-10-31,"93,992"
MacGeneration,2022-01-29,"101,004"
MajorGeeks,2015-11-15,"269,548"
Malwarebytes,2014-11-15,"111,623"
Manga Traders,2014-06-09,"855,249"
MangaDex,2021-03-22,"2,987,329"
MangaFox.me,2016-06-01,"1,311,610"
Mangatoon,2022-05-13,"23,040,238"
Mappery,2018-12-11,"205,242"
Mashable,2020-06-01,"1,414,677"
Master Deeds,2017-03-14,"2,257,930"
